0,名詞
1,顔,face
2,置き時計,clock
3,ライオン,lion
4,足,foot
5,鉄砲,gun
6,髪,hair
7,辞書,dictionary
8,コンピュータ,computer
9,ラジオ,radio
10,赤ん坊,baby
11,硬貨,coin
12,ナイフ,knife
13,腕,arm
14,アルバム,album
15,船,ship
16,靴,shoe
17,カード,card
18,レコード,record
19,グローブ,glove
20,動物,animal
21,帽子,hat
22,ポケット,pocket
23,口,mouth
24,頭%2C先頭,head
25,コート,coat
26,ご飯,rice
27,鼻,nose
28,指,finger
29,肉,meat
30,シャツ,shirt
31,ベンチ,bench
32,目,eye
33,脚,leg
34,風呂,bath
35,列車,train
36,自転車,bicycle
37,ボール,ball
38,建物,building
39,はつかねずみ,mouse
40,子供,child
41,ニワトリ,chicken
42,葉,leaf
43,お金,money
44,コーヒー,coffee
45,皿%2C料理,dish
46,紙%2Cレポート,paper
47,耳,ear
48,橋,bridge
49,新聞,newspaper
50,身体,body
0,名詞
1,農場,farm
2,市場,market
3,大学,college
4,頂上,top
5,店,shop
6,かど,corner
7,中央,center
8,人々,people
9,生活%2C生命%2C人生,life
10,言葉,word
11,英語,English
12,声,voice
13,月,moon
14,空,sky
15,海,sea
16,雲,cloud
17,風,wind
18,空港,airport
19,地面,ground
20,教室,classroom
21,博物館,museum
22,工場,factory
23,陸地%2C土地,land
24,会員,member
25,最後,last
26,質問,question
27,話,story
28,心,heart
29,スポーツ,sport
30,水,water
31,太陽,sun
32,お茶,tea
33,星%2Cスター,star
34,通り,street
35,アメリカ,America
36,道,road
37,島,island
38,地球%2C大地,earth
39,丘,hill
40,妻,wife
41,クラブ,club
42,試合,game
43,音楽,music
44,趣味,hobby
45,ニュース,news
46,川,river
47,光%2C明かり%2C信号,light
48,湖,lake
49,石,stone
50,百,hundred
0,名詞
1,ギター,guitar
2,じゃがいも,potato
3,ベルト,belt
4,野菜,vegetable
5,歌,song
6,楽しみ,fun
7,サッカー,soccer
8,演説,speech
9,商売,business
10,健康,health
11,考え,idea
12,忠告,advice
13,誤り,mistake
14,感覚,feeling
15,キャンプ,camp
16,パーティー,party
17,１００万,million
18,歯,tooth
19,テレビ,TV
20,あひる,duck
21,雑誌,magazine
22,ショー,show
23,旅行,trip
24,旅行,travel
25,警察,police
26,成功,success
27,平和,peace
28,ロック,rock
29,休暇,vacation
30,夢,dream
31,愛%2C愛する人,love
32,ピクニック,picnic
33,授業%2C課,lesson
34,千,thousand
35,写真,photo
36,教科書,textbook
37,ビデオ,video
38,馬,horse
39,戦争,war
40,嘘,lie
41,コンテスト,contest
42,文化,culture
43,仕事,job
44,ホームルーム,homeroom
45,ほお笑み,smile
46,幸福,happiness
47,フットボール,football
48,希望,hope
49,試験,test
50,計画,plan
0,名詞
1,首都,capital
2,屋根,roof
3,休日,holiday
4,クリスマス,Christmas
5,空気,air
6,木材,wood
7,布,cloth
8,油,oil
9,音,sound
10,断片,piece
11,円,circle
12,番組,program
13,ドル,dollar
14,郵便,post
15,物音,noise
16,法律,law
17,前,front
18,港,port
19,婦人,lady
20,日付,date
21,池,pond
22,塩,salt
23,金,gold
24,氷,ice
25,自然,nature
26,惑星,planet
27,部分,part
28,食べ物,food
29,座席,seat
30,美術%2C芸術,art
31,内側,inside
32,数学,math
33,マイル,mile
34,種類,kind
35,宇宙,space
36,未来,future
37,誕生日,birthday
38,雪,snow
39,雨,rain
40,山,mountain
41,草,grass
42,砂糖,sugar
43,火,fire
44,贈り物,gift
45,ペット,pet
