0,動詞
1,…を捨て去る,abandon
2,…を吸収する%2C…を没頭させる,absorb
3,…を成し遂げる,accomplish
4,…に付き添う,accompany
5,…を非難［告発］する,accuse
6,…を適合［適応］させる,adapt
7,…をすばらしいと思う%2C…を賞賛する,admire
8,…を認める,admit
9,…を自分のものにする,adopt
10,…を宣伝［広告］する,advertise
11,…の余裕がある,afford
12,ねらいをつける／目的,aim
13,…を変える,alter
14,…をいらだたせる,annoy
15,訴える,appeal
16,起こる%2C生じる,arise
17,（…を）計画・準備する,arrange
18,…を結びつけて考える,associate
19,…を貼り付ける%2C…を取り付ける,attach
20,…に出席する,attend
21,…を引きつける,attract
22,振る舞う,behave
23,…を縛りつける,bind
24,…を妨げる,block
25,（…を）吹く／打撃,blow
26,…を借りる,borrow
27,呼吸をする,breathe
28,…を集める%2C…を徴収する,collect
29,…を結合させる,combine
30,…に［を］命じる／行使する力,command
31,競争する,compete
32,不満を言う,complain
33,…を構成する%2C＜曲や詩＞を作る,compose
34,集中する,concentrate
35,締めくくる%2C…という結論を下す,conclude
36,…を混乱させる,confuse
37,…をつなげる,connect
38,かなりの,considerable
39,成り立つ%2C存在する,consist
40,…を組み立てる%2C…を建造する,construct
41,寄付する%2C貢献する,contribute
42,…を伝える%2C…を運ぶ,convey
43,…に納得させる,convince
44,対処する,cope
45,…を批判する,criticize
46,決定%2C決心,decision
47,…を宣言する,declare
48,減少する／減少,decrease
49,…を負かす,defeat
50,…を守る,defend
51,…を否定する,deny
52,…を引き出す,derive
53,＜時間・努力＞を注ぐ,devote
54,…をがっかりさせる,disappoint
55,…について議論する,discuss
56,…を嫌がる／嫌悪,dislike
57,…を展示する／展示,display
58,…を区別する,distinguish
59,…の平穏を妨げる,disturb
60,…を分割する,divide
61,…を教育する,educate
62,現れる,emerge
63,…を強調する,emphasize
64,…を雇う,employ
65,…に可能にさせる,enable
66,…に遭遇する,encounter
67,…を楽しませる,entertain
68,…を推定する%2C…を見積もる／推定,estimate
69,…を検査する%2C…を調べる,examine
70,…を拡大する,expand
71,…を探索［探検］する,explore
72,…を輸出する／輸出,export
73,…を明らかにする%2C…をさらす,expose
74,延びる%2C…を拡張する,extend
75,…を固定する%2C…を修理する,fix
76,…をおびえさせる%2C…を怖がらせる,frighten
77,…を統治する,govern
78,卒業する,graduate
79,…にあいさつをする,greet
80,…を手で扱う%2C…にうまく対処する,handle
81,…をつるす%2C…を絞首刑にする,hang
82,…をひどく嫌う,hate
83,ためらう,hesitate
84,…を雇う,hire
85,…を見分ける,identify
86,…を無視する,ignore
87,…をほのめかす,imply
88,…を輸入する／輸入,import
89,…に感銘を与える,impress
90,…に知らせる,inform
91,意図する%2Cつもりである,intend
92,…を解釈する%2C通訳する,interpret
93,…を孤立させる,isolate
94,…を判断する／審判員%2C裁判官,judge
95,…に気づく／注意%2C掲示,notice
96,…を手に入れる,obtain
97,…を占める%2C…を占領する,occupy
98,…に反対する,oppose
99,…を組織する,organize
100,…を克服する,overcome
101,参加する,participate
102,話し［行動］を中断する／間（ま）%2C小休止,pause
103,…を知覚する,perceive
104,…を許可する,permit
105,説得する,persuade
106,…を所有する,possess
107,…をほめる,praise
108,…を予想する%2C…を予測する,predict
109,…を保存［保護］する,preserve
110,…のふりをする,pretend
111,…を促進する,promote
112,…を提案する,propose
113,…を罰する,punish
114,…を購入する／購入,purchase
115,…を追い求める,pursue
116,（…を）やめる,quit
117,反応する,react
118,…を薦める,recommend
119,回復する,recover
120,…を拒絶する,reject
121,…を解き放つ,release
122,頼る%2C信頼する,rely
123,…に思い出させる,remind
124,…を取り除く,remove
125,…を修理する,repair
126,…に取って代わる,replace
127,…を取っておく%2C…を予約する,reserve
128,反応する%2C返答する,respond
129,退職する%2C引退する,retire
130,転がる,roll
131,突進する%2Cダッシュする,rush
132,…を選び出す,select
133,…を決着させる%2C落ち着く,settle
